"","state","value","year","month","number_mass_shooting","time"
"80","California",4.1,"2019","Apr",6,"2019 Apr"
"81","California",4.1,"2019","May",7,"2019 May"
"82","California",4.1,"2019","Jun",7,"2019 Jun"
"83","California",4.1,"2019","Jul",5,"2019 Jul"
"84","California",4.1,"2019","Aug",2,"2019 Aug"
"85","California",4.1,"2019","Sep",2,"2019 Sep"
"86","California",4.1,"2019","Oct",2,"2019 Oct"
"87","California",4.1,"2019","Nov",7,"2019 Nov"
"88","California",4.2,"2019","Dec",4,"2019 Dec"
"89","California",4.2,"2020","Jan",2,"2020 Jan"
"90","California",4.3,"2020","Feb",1,"2020 Feb"
"91","California",4.5,"2020","Mar",2,"2020 Mar"
"92","California",16,"2020","Apr",2,"2020 Apr"
"93","California",15.6,"2020","May",3,"2020 May"
"94","California",14.1,"2020","Jun",9,"2020 Jun"
"95","California",13.2,"2020","Jul",3,"2020 Jul"
"96","California",12.3,"2020","Aug",4,"2020 Aug"
"97","California",10.6,"2020","Sep",4,"2020 Sep"
"98","California",9.8,"2020","Oct",6,"2020 Oct"
"99","California",8.7,"2020","Nov",1,"2020 Nov"
"100","California",9.3,"2020","Dec",2,"2020 Dec"
"101","California",9,"2021","Jan",3,"2021 Jan"
"102","California",8.5,"2021","Feb",3,"2021 Feb"
"103","California",8.3,"2021","Mar",4,"2021 Mar"
"104","California",8,"2021","Apr",1,"2021 Apr"
"105","California",7.7,"2021","May",7,"2021 May"
"106","California",7.6,"2021","Jun",3,"2021 Jun"
"107","California",7.6,"2021","Jul",7,"2021 Jul"
"108","California",7.5,"2021","Aug",3,"2021 Aug"
"109","California",7.5,"2021","Sep",4,"2021 Sep"
"110","California",7.3,"2021","Oct",4,"2021 Oct"
"111","Colorado",2.9,"2018","Feb",1,"2018 Feb"
"112","Colorado",3,"2018","May",1,"2018 May"
"113","Colorado",3.1,"2018","Jun",1,"2018 Jun"
"114","Colorado",3.1,"2018","Jul",1,"2018 Jul"
"115","Colorado",3.1,"2018","Aug",2,"2018 Aug"
"116","Colorado",3.1,"2018","Nov",1,"2018 Nov"
"117","Colorado",3.1,"2018","Dec",1,"2018 Dec"
"118","Colorado",2.8,"2019","Mar",1,"2019 Mar"
"119","Colorado",2.6,"2019","May",1,"2019 May"
"120","Colorado",2.6,"2019","Jun",1,"2019 Jun"
"121","Colorado",2.5,"2019","Oct",1,"2019 Oct"
"122","Colorado",2.7,"2020","Jan",1,"2020 Jan"
"123","Colorado",2.8,"2020","Feb",1,"2020 Feb"
"124","Colorado",11.3,"2020","Jun",2,"2020 Jun"
"125","Colorado",7.4,"2020","Jul",2,"2020 Jul"
"126","Colorado",7.1,"2020","Aug",4,"2020 Aug"
"127","Colorado",7,"2020","Sep",1,"2020 Sep"
"128","Colorado",6.4,"2021","Feb",2,"2021 Feb"
"129","Colorado",6.4,"2021","Mar",1,"2021 Mar"
"130","Colorado",6.2,"2021","May",1,"2021 May"
"131","Colorado",6.2,"2021","Jun",1,"2021 Jun"
"132","Colorado",5.9,"2021","Aug",1,"2021 Aug"
"133","Colorado",5.4,"2021","Oct",4,"2021 Oct"
"134","Connecticut",4.2,"2018","Feb",1,"2018 Feb"
"135","Connecticut",3.9,"2018","Jun",1,"2018 Jun"
"136","Connecticut",3.5,"2019","Jun",2,"2019 Jun"
"137","Connecticut",3.6,"2019","Sep",1,"2019 Sep"
"138","Connecticut",3.7,"2020","Jan",1,"2020 Jan"
"139","Connecticut",3.7,"2020","Feb",1,"2020 Feb"
"140","Connecticut",11.4,"2020","Jun",1,"2020 Jun"
"141","Connecticut",8.4,"2020","Aug",2,"2020 Aug"
"142","Connecticut",8.3,"2020","Sep",1,"2020 Sep"
"143","Connecticut",8.2,"2020","Dec",1,"2020 Dec"
"144","Connecticut",8.1,"2021","Apr",1,"2021 Apr"
"145","Connecticut",7.3,"2021","Jul",1,"2021 Jul"
"146","Delaware",3.6,"2018","Jul",1,"2018 Jul"
"147","Delaware",3.4,"2019","Apr",1,"2019 Apr"
"148","Delaware",3.4,"2019","May",1,"2019 May"
"149","Delaware",4.5,"2020","Feb",1,"2020 Feb"
"150","Delaware",8.3,"2020","Jul",2,"2020 Jul"
"151","Delaware",6.3,"2021","Feb",1,"2021 Feb"
"152","Delaware",5.9,"2021","May",2,"2021 May"
"153","Delaware",5.8,"2021","Jun",1,"2021 Jun"
"154","Delaware",5.6,"2021","Jul",1,"2021 Jul"
"155","Delaware",5.4,"2021","Sep",1,"2021 Sep"
"156","Delaware",5.3,"2021","Oct",1,"2021 Oct"
"157","Florida",3.9,"2018","Jan",3,"2018 Jan"
"158","Florida",3.9,"2018","Feb",3,"2018 Feb"
"159","Florida",3.8,"2018","Mar",2,"2018 Mar"
"160","Florida",3.7,"2018","Apr",4,"2018 Apr"
"161","Florida",3.6,"2018","Jun",6,"2018 Jun"
"162","Florida",3.5,"2018","Jul",3,"2018 Jul"
"163","Florida",3.5,"2018","Aug",1,"2018 Aug"
"164","Florida",3.5,"2018","Sep",3,"2018 Sep"
"165","Florida",3.5,"2018","Oct",1,"2018 Oct"
"166","Florida",3.5,"2018","Nov",2,"2018 Nov"
"167","Florida",3.5,"2018","Dec",2,"2018 Dec"
"168","Florida",3.5,"2019","Jan",5,"2019 Jan"
"169","Florida",3.3,"2019","Apr",3,"2019 Apr"
"170","Florida",3.2,"2019","Sep",2,"2019 Sep"
"171","Florida",3.2,"2019","Oct",1,"2019 Oct"
"172","Florida",3.2,"2019","Nov",2,"2019 Nov"
"173","Florida",3.2,"2019","Dec",2,"2019 Dec"
"174","Florida",3.3,"2020","Jan",2,"2020 Jan"
"175","Florida",3.3,"2020","Feb",1,"2020 Feb"
"176","Florida",4.9,"2020","Mar",1,"2020 Mar"
"177","Florida",14,"2020","Apr",2,"2020 Apr"
"178","Florida",14.2,"2020","May",5,"2020 May"
"179","Florida",11.6,"2020","Jun",1,"2020 Jun"
"180","Florida",11.5,"2020","Jul",5,"2020 Jul"
"181","Florida",7.9,"2020","Aug",2,"2020 Aug"
"182","Florida",7.2,"2020","Sep",4,"2020 Sep"
"183","Florida",5.8,"2020","Oct",3,"2020 Oct"
"184","Florida",5.4,"2020","Nov",4,"2020 Nov"
"185","Florida",5.1,"2020","Dec",4,"2020 Dec"
"186","Florida",4.8,"2021","Jan",5,"2021 Jan"
"187","Florida",4.7,"2021","Feb",2,"2021 Feb"
"188","Florida",4.7,"2021","Mar",3,"2021 Mar"
"189","Florida",4.8,"2021","Apr",3,"2021 Apr"
"190","Florida",4.9,"2021","May",3,"2021 May"
"191","Florida",5,"2021","Jun",5,"2021 Jun"
"192","Florida",5.1,"2021","Jul",1,"2021 Jul"
"193","Florida",4.8,"2021","Sep",3,"2021 Sep"
"194","Florida",4.6,"2021","Oct",2,"2021 Oct"
"195","Georgia",4,"2018","May",1,"2018 May"
"196","Georgia",4,"2018","Jun",2,"2018 Jun"
"197","Georgia",3.9,"2018","Jul",2,"2018 Jul"
"198","Georgia",3.9,"2018","Sep",1,"2018 Sep"
"199","Georgia",3.9,"2018","Oct",2,"2018 Oct"
"200","Georgia",3.9,"2019","Jan",2,"2019 Jan"
"201","Georgia",3.7,"2019","Mar",3,"2019 Mar"
"202","Georgia",3.6,"2019","Apr",1,"2019 Apr"
"203","Georgia",3.5,"2019","Jun",5,"2019 Jun"
"204","Georgia",3.5,"2019","Jul",1,"2019 Jul"
"205","Georgia",3.5,"2019","Aug",2,"2019 Aug"
"206","Georgia",3.4,"2019","Sep",1,"2019 Sep"
"207","Georgia",3.3,"2019","Nov",2,"2019 Nov"
"208","Georgia",3.3,"2019","Dec",2,"2019 Dec"
"209","Georgia",3.3,"2020","Jan",1,"2020 Jan"
"210","Georgia",3.6,"2020","Mar",2,"2020 Mar"
"211","Georgia",9.4,"2020","May",1,"2020 May"
"212","Georgia",8.4,"2020","Jun",2,"2020 Jun"
"213","Georgia",7.6,"2020","Jul",3,"2020 Jul"
"214","Georgia",6.5,"2020","Sep",3,"2020 Sep"
"215","Georgia",5.9,"2020","Oct",2,"2020 Oct"
"216","Georgia",5.6,"2020","Nov",2,"2020 Nov"
"217","Georgia",5.3,"2020","Dec",1,"2020 Dec"
"218","Georgia",4.8,"2021","Feb",2,"2021 Feb"
"219","Georgia",4.5,"2021","Mar",1,"2021 Mar"
"220","Georgia",4.3,"2021","Apr",2,"2021 Apr"
"221","Georgia",4.1,"2021","May",5,"2021 May"
"222","Georgia",4,"2021","Jun",2,"2021 Jun"
"223","Georgia",3.7,"2021","Jul",2,"2021 Jul"
"224","Georgia",3.3,"2021","Sep",4,"2021 Sep"
"225","Georgia",3.1,"2021","Oct",2,"2021 Oct"
