"","...1","state","value","year","month","number_mass_shooting","time"
"295",295,"Iowa",2.7,2019,"May",1,"2019 May"
"296",296,"Iowa",2.7,2019,"Jun",1,"2019 Jun"
"297",297,"Iowa",2.8,2019,"Dec",1,"2019 Dec"
"298",298,"Iowa",7.1,2020,"Jun",2,"2020 Jun"
"299",299,"Iowa",6.1,2020,"Jul",1,"2020 Jul"
"300",300,"Iowa",4.7,2020,"Sep",1,"2020 Sep"
"301",301,"Iowa",3.6,2021,"Jan",1,"2021 Jan"
"302",302,"Iowa",4.1,2021,"Jul",1,"2021 Jul"
"303",303,"Iowa",3.9,2021,"Oct",2,"2021 Oct"
"304",304,"Kansas",3.4,2018,"Feb",1,"2018 Feb"
"305",305,"Kansas",3.2,2018,"Jun",1,"2018 Jun"
"306",306,"Kansas",3.1,2019,"Apr",1,"2019 Apr"
"307",307,"Kansas",3.1,2019,"Jul",1,"2019 Jul"
"308",308,"Kansas",3.1,2019,"Sep",1,"2019 Sep"
"309",309,"Kansas",3.1,2019,"Oct",1,"2019 Oct"
"310",310,"Kansas",7,2020,"Jun",1,"2020 Jun"
"311",311,"Kansas",4.7,2020,"Nov",1,"2020 Nov"
"312",312,"Kansas",3.5,2021,"Apr",1,"2021 Apr"
"313",313,"Kansas",3.9,2021,"Sep",1,"2021 Sep"
"314",314,"Kentucky",4.2,2018,"Jan",2,"2018 Jan"
"315",315,"Kentucky",4.2,2018,"Feb",1,"2018 Feb"
"316",316,"Kentucky",4.2,2018,"Mar",1,"2018 Mar"
"317",317,"Kentucky",4.2,2019,"Jan",1,"2019 Jan"
"318",318,"Kentucky",4.2,2019,"Feb",1,"2019 Feb"
"319",319,"Kentucky",4.1,2019,"Apr",2,"2019 Apr"
"320",320,"Kentucky",4.1,2019,"Jun",1,"2019 Jun"
"321",321,"Kentucky",16.9,2020,"Apr",1,"2020 Apr"
"322",322,"Kentucky",10.9,2020,"May",2,"2020 May"
"323",323,"Kentucky",5.7,2020,"Jun",1,"2020 Jun"
"324",324,"Kentucky",5.6,2020,"Jul",2,"2020 Jul"
"325",325,"Kentucky",5.5,2020,"Aug",4,"2020 Aug"
"326",326,"Kentucky",5.3,2021,"Jan",1,"2021 Jan"
"327",327,"Kentucky",4.4,2021,"Jun",1,"2021 Jun"
"328",328,"Kentucky",4.4,2021,"Jul",1,"2021 Jul"
"329",329,"Kentucky",4.2,2021,"Oct",1,"2021 Oct"
"330",330,"Louisiana",4.7,2018,"Feb",1,"2018 Feb"
"331",331,"Louisiana",4.9,2018,"Apr",3,"2018 Apr"
"332",332,"Louisiana",4.9,2018,"May",2,"2018 May"
"333",333,"Louisiana",4.9,2018,"Jun",1,"2018 Jun"
"334",334,"Louisiana",4.9,2018,"Jul",2,"2018 Jul"
"335",335,"Louisiana",4.8,2018,"Sep",1,"2018 Sep"
"336",336,"Louisiana",4.8,2018,"Nov",1,"2018 Nov"
"337",337,"Louisiana",4.8,2018,"Dec",2,"2018 Dec"
"338",338,"Louisiana",4.7,2019,"Jan",1,"2019 Jan"
