"","year","month","state","number_mass_shooting"
"829",21,"May","Colorado",1
"830",21,"May","Delaware",2
"831",21,"May","District of Columbia",2
"832",21,"May","Florida",3
"833",21,"May","Georgia",5
"834",21,"May","Illinois",6
"835",21,"May","Indiana",2
"836",21,"May","Louisiana",1
"837",21,"May","Maryland",3
"838",21,"May","Massachusetts",1
"839",21,"May","Michigan",4
"840",21,"May","Minnesota",2
"841",21,"May","Missouri",3
"842",21,"May","New Jersey",5
"843",21,"May","New York",5
"844",21,"May","North Carolina",1
"845",21,"May","Ohio",5
"846",21,"May","Pennsylvania",4
"847",21,"May","Rhode Island",1
"848",21,"May","South Carolina",2
"849",21,"May","Texas",1
"850",21,"May","Virginia",1
"851",21,"May","Wisconsin",1
"852",21,"Nov","Alabama",1
"853",21,"Nov","California",3
"854",21,"Nov","Florida",1
"855",21,"Nov","Iowa",1
"856",21,"Nov","New York",1
"857",21,"Nov","Pennsylvania",1
"858",21,"Nov","South Dakota",1
"859",21,"Nov","Texas",2
"860",21,"Nov","Virginia",1
"861",21,"Nov","Wisconsin",1
"862",21,"Oct","Alabama",2
"863",21,"Oct","Arkansas",2
"864",21,"Oct","California",4
"865",21,"Oct","Colorado",4
"866",21,"Oct","Delaware",1
"867",21,"Oct","District of Columbia",2
"868",21,"Oct","Florida",2
"869",21,"Oct","Georgia",2
"870",21,"Oct","Idaho",1
"871",21,"Oct","Illinois",7
"872",21,"Oct","Iowa",2
"873",21,"Oct","Kentucky",1
"874",21,"Oct","Louisiana",4
"875",21,"Oct","Maryland",3
"876",21,"Oct","Michigan",2
"877",21,"Oct","Minnesota",3
"878",21,"Oct","Mississippi",4
"879",21,"Oct","Missouri",1
"880",21,"Oct","Nevada",1
"881",21,"Oct","New York",3
"882",21,"Oct","Ohio",2
"883",21,"Oct","Oklahoma",1
"884",21,"Oct","South Carolina",3
"885",21,"Oct","Tennessee",1
"886",21,"Oct","Texas",7
"887",21,"Oct","Washington",2
"888",21,"Oct","Wisconsin",4
"889",21,"Sep","Alabama",3
"890",21,"Sep","California",4
"891",21,"Sep","Delaware",1
"892",21,"Sep","District of Columbia",2
"893",21,"Sep","Florida",3
"894",21,"Sep","Georgia",4
"895",21,"Sep","Illinois",11
"896",21,"Sep","Kansas",1
"897",21,"Sep","Louisiana",3
"898",21,"Sep","Maryland",1
"899",21,"Sep","Michigan",1
"900",21,"Sep","Minnesota",2
"901",21,"Sep","Missouri",4
"902",21,"Sep","New Jersey",1
"903",21,"Sep","New York",8
"904",21,"Sep","North Carolina",1
"905",21,"Sep","Ohio",2
"906",21,"Sep","Pennsylvania",3
"907",21,"Sep","South Carolina",2
"908",21,"Sep","Tennessee",3
"909",21,"Sep","Texas",4
"910",21,"Sep","Washington",1
"911",21,"Sep","Wisconsin",1
