Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2136132,6-Oct-21,Ohio,Cleveland,9200 block of Marshall Ave,0,4,N/A
2135659,6-Oct-21,Ohio,Cleveland,Marshall Ave and E 93rd St,0,4,N/A
2133962,5-Oct-21,Illinois,Rockford,400 block of S Independence Ave,1,3,N/A
2132656,4-Oct-21,Minnesota,Minneapolis,626 W Broadway Ave,0,4,N/A
2131471,3-Oct-21,South Carolina,Bishopville,1113 Sumter Hwy,1,4,N/A
2131406,2-Oct-21,Texas,San Antonio,6222 S New Braunfels Ave,1,3,N/A
2130634,2-Oct-21,Colorado,Aurora,12230 E Colfax Ave,1,3,N/A
2130370,1-Oct-21,District of Columbia,Washington,Forrester St SW and Galveston Pl SW,1,5,N/A
2130763,1-Oct-21,Iowa,Cedar Rapids,525 33rd Ave SW,0,6,N/A
2128682,29-Sep-21,Illinois,Chicago,800 block of N Milwaukee Ave,0,5,N/A
2127374,28-Sep-21,Illinois,Chicago,65th St and Calumet Ave,1,3,N/A
2128023,28-Sep-21,Minnesota,Minneapolis,2700 block of Bloomington Ave,1,3,N/A
2126747,27-Sep-21,New York,New York (Manhattan),3964 10th Ave,0,5,N/A
2126450,27-Sep-21,Illinois,Chicago,826 N Ridgeway Ave,1,3,N/A
2125790,26-Sep-21,Illinois,Chicago,800 block of S Albany Ave,0,6,N/A
2125953,26-Sep-21,California,Oakland,1400 block of 8th Ave,0,4,N/A
2126261,26-Sep-21,Washington,Seattle (Des Moines),22855 Pacific Hwy S,3,3,N/A
2125613,25-Sep-21,New York,Utica,800 block of Mohawk St,0,4,N/A
2125444,25-Sep-21,Tennessee,Athens,Co Rd 60,4,1,N/A
2126241,25-Sep-21,Tennessee,Chattanooga,1124 Grove St,2,5,N/A
2125227,25-Sep-21,California,Riverside,6000 Block of Mariposa Ave,0,6,N/A
2124396,24-Sep-21,South Carolina,Aiken,749 Silver Bluff Rd,4,1,N/A
2124887,24-Sep-21,California,Los Angeles,11600 block of Willowbrook Ave,0,4,N/A
2123395,23-Sep-21,Tennessee,Collierville,240 New Byhalia Rd,2,14,N/A
2123301,23-Sep-21,Pennsylvania,Philadelphia,38th St and Aspen St,0,4,N/A
2122565,22-Sep-21,North Carolina,Fayetteville,1100 block of Charlie Dr,2,2,N/A
2121381,21-Sep-21,District of Columbia,Washington,2200 block of Alabama Ave SE,0,5,N/A
2120940,20-Sep-21,Pennsylvania,Philadelphia,Broad St and Chew Ave,1,5,N/A
2121031,20-Sep-21,Missouri,Saint Louis,2000 block of St Charles St,1,3,N/A
2119701,19-Sep-21,Florida,Miami,14900 block of Pierce St,0,4,N/A
2119745,19-Sep-21,Texas,Dallas,100 block of N Malcolm X Blvd,2,4,N/A
2119736,19-Sep-21,California,Oakland,300 block of 17th St,1,3,N/A
2119609,19-Sep-21,Illinois,Chicago,900 block of N Massasoit Ave,0,5,N/A
2119950,19-Sep-21,South Carolina,Yemassee,145 Yemassee Hwy,1,7,N/A
2119583,19-Sep-21,New York,Rochester,300 block of Driving Park Ave,2,2,N/A
2119470,18-Sep-21,New York,Bronx,Teller Ave and E 172nd St,1,3,N/A
2119101,18-Sep-21,Illinois,Danville,3164 E Main St,2,2,N/A
2119478,18-Sep-21,Louisiana,Opelousas,500 block of Sapphire St,0,5,N/A
2118451,17-Sep-21,Georgia,Augusta,519 Broad St,0,4,N/A
2116343,14-Sep-21,Maryland,Baltimore,1700 block of N Milton Ave,0,4,N/A
2116205,14-Sep-21,Ohio,Cleveland,2747 Cedar Ave,0,6,N/A
2115522,13-Sep-21,Wisconsin,Milwaukee,3073 N Sherman Blvd,0,5,N/A
2115947,12-Sep-21,Minnesota,Saint Paul,7th St W and N Walnut St,4,0,N/A
2114626,12-Sep-21,Texas,Temple,900 block of S 24th St,0,4,N/A
2122103,12-Sep-21,Illinois,Blue Island,12200 block of S Irving Ave,2,2,N/A
2114481,12-Sep-21,Michigan,Detroit,2700 block of Halleck St,2,4,N/A
2113841,11-Sep-21,Illinois,Chicago,300 block of E Kensington Ave,1,5,N/A
2114510,11-Sep-21,Alabama,Dothan,2000 Reeves St,0,5,N/A
2114583,11-Sep-21,New York,Utica,700 block of Noyes St,1,3,N/A
2113623,11-Sep-21,Illinois,Chicago,900 block of E 79th St,1,3,N/A
2113769,11-Sep-21,New Jersey,Paterson,E 18th St and Fulton Pl,0,4,N/A
2112450,10-Sep-21,Florida,Orlando,5526 S Orange Blossom Trl,0,4,N/A
2111858,9-Sep-21,Illinois,East Saint Louis,510 Martin Luther King Dr,0,7,N/A
2112252,9-Sep-21,Alabama,Montgomery,1800 block of Cotton Court,1,3,N/A
2111895,8-Sep-21,Missouri,Saint Louis,4000 block of St Ferdinand Ave,0,4,N/A
2110346,7-Sep-21,Delaware,Wilmington,A St and New Castle Ave,0,4,N/A
2110077,7-Sep-21,Kansas,Wichita,351 N Mosley St,1,5,N/A
2109075,6-Sep-21,Georgia,Atlanta,868 Joseph E Boone Blvd NW,0,5,N/A
2108892,5-Sep-21,Missouri,Independence,116 W Lexington Ave,0,4,N/A
2108560,5-Sep-21,New York,Bronx,4848 White Plains Rd,0,4,N/A
2115336,5-Sep-21,Missouri,Wyatt,N/A,0,4,N/A
2108414,5-Sep-21,Texas,Houston,7518 Imogene St,4,0,N/A
2108378,5-Sep-21,Georgia,Athens,E Clayton St and N Jackson St,0,6,N/A
2108302,5-Sep-21,Florida,Lakeland,N Socrum Loop Rd and Fulton Green Rd,4,2,N/A
2109384,5-Sep-21,Ohio,Cincinnati,6308 Corbly Rd,0,4,N/A
2107828,4-Sep-21,Louisiana,Monroe,1600 block of Winnsboro Rd,1,3,N/A
2107930,4-Sep-21,District of Columbia,Washington,700 block of Longfellow St NW,3,3,N/A
2107916,4-Sep-21,Alabama,Birmingham,9164 Parkway E,2,2,N/A
2108406,4-Sep-21,Georgia,Warner Robins,Mauldon Ct and Dunmurry Pl,1,4,N/A
